death_year,state_abbr,state_name,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
2019,OK,OKLAHOMA,2534258,1248290,1285968,3.05,8.73,11.01,9.65,67.56,36440,1437,25033,2624,22409
2018,OK,OKLAHOMA,2530690,1248147,1282543,2.99,8.68,10.7,9.62,68.01,38514,1521,26956,3096,23860
2017,OK,OKLAHOMA,2532447,1250606,1281841,2.93,8.64,10.39,9.58,68.47,40650,1605,28143,3191,24952
2016,OK,OKLAHOMA,2537213,1254657,1282556,2.88,8.59,10.06,9.51,68.97,41968,1654,29916,3464,26452
2015,OK,OKLAHOMA,2534138,1254557,1279581,2.81,8.55,9.72,9.45,69.48,39890,1574,28547,3058,25489
2019,OR,OREGON,2748164,1354995,1393169,6.34,2.63,13.82,1.43,75.78,20969,763,14961,1221,13740
2018,OR,OREGON,2737594,1352041,1385553,6.25,2.56,13.44,1.43,76.32,21133,771,15268,1246,14022
2017,OR,OREGON,2724753,1348387,1376366,6.12,2.49,13.07,1.43,76.89,21110,774,15218,1327,13891
2016,OR,OREGON,2699022,1338266,1360756,5.95,2.44,12.68,1.44,77.5,20911,774,15166,1304,13862
2015,OR,OREGON,2655896,1319220,1336676,5.66,2.38,12.36,1.44,78.16,21183,797,15245,1307,13938
2019,PA,PENNSYLVANIA,8398537,4171679,4226858,4.29,11.84,8.0,0.18,75.68,78346,932,45702,2816,42886
2018,PA,PENNSYLVANIA,8436476,4195532,4240944,4.18,11.75,7.75,0.18,76.13,81081,961,47239,2934,44305
2017,PA,PENNSYLVANIA,8453317,4209649,4243668,4.07,11.67,7.39,0.18,76.7,83105,983,48333,2851,45482
2016,PA,PENNSYLVANIA,8476251,4225136,4251115,3.94,11.59,7.07,0.18,77.23,84312,994,49244,2863,46381
2015,PA,PENNSYLVANIA,8497380,4241671,4255709,3.8,11.51,6.78,0.18,77.73,85630,1007,49858,2819,47039
2019,RI,RHODE ISLAND,732040,366384,365656,4.17,7.22,16.5,0.51,71.59,2740,374,1656,58,1598
2018,RI,RHODE ISLAND,733357,367638,365719,4.18,7.08,16.04,0.5,72.2,2767,377,1671,59,1612
2017,RI,RHODE ISLAND,731423,367443,363980,4.09,6.92,15.49,0.5,73.0,2861,391,1808,69,1739
2016,RI,RHODE ISLAND,732136,368359,363777,4.1,6.81,15.0,0.5,73.59,3103,423,2030,68,1962
2015,RI,RHODE ISLAND,731081,368632,362449,4.02,6.66,14.52,0.5,74.31,3248,444,2156,62,2094
2019,SC,SOUTH CAROLINA,3262364,1651346,1611018,2.2,27.8,6.07,0.43,63.5,29360,899,18608,1281,17327
2018,SC,SOUTH CAROLINA,3241810,1642106,1599704,2.11,27.98,5.85,0.43,63.63,30446,939,19033,1327,17706
2017,SC,SOUTH CAROLINA,3221399,1632761,1588638,2.04,28.14,5.65,0.43,63.74,31200,968,19906,1392,18514
2016,SC,SOUTH CAROLINA,3200900,1622830,1578070,1.96,28.28,5.48,0.43,63.85,31978,999,20858,1474,19384
2015,SC,SOUTH CAROLINA,3176764,1611787,1564977,1.87,28.4,5.36,0.43,63.93,31839,1002,20929,1355,19574
2019,SD,SOUTH DAKOTA,551429,265658,285771,2.1,2.76,4.16,8.31,82.67,6366,1154,3801,562,3239
2018,SD,SOUTH DAKOTA,549592,265182,284410,2.0,2.63,3.98,8.34,83.05,6601,1201,3948,571,3377
2017,SD,SOUTH DAKOTA,549711,265389,284322,2.02,2.55,3.81,8.32,83.3,6513,1184,3970,540,3430
