state_name,death_year,age_range,death_count,state_abbr,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
ARKANSAS,2016,41-50,8,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
ARKANSAS,2016,51-60,20,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
ARKANSAS,2016,61-70,21,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
ARKANSAS,2016,≥ 71,10,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
ARKANSAS,2017,≤ 20,0,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2017,21-30,6,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2017,31-40,11,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2017,41-50,15,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2017,51-60,24,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2017,61-70,20,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2017,≥ 71,5,AR,1918770,958152,960618,2.24,16.52,7.51,0.89,72.84,24835,1294,18070,1419,16651
ARKANSAS,2018,≤ 20,0,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2018,21-30,5,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2018,31-40,15,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2018,41-50,11,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2018,51-60,18,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2018,61-70,20,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2018,≥ 71,7,AR,1916640,956321,960319,2.27,16.52,7.75,0.9,72.56,24713,1289,17799,1403,16396
ARKANSAS,2019,≤ 20,0,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
ARKANSAS,2019,21-30,3,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
ARKANSAS,2019,31-40,9,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
ARKANSAS,2019,41-50,14,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
ARKANSAS,2019,51-60,15,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
ARKANSAS,2019,61-70,23,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
ARKANSAS,2019,≥ 71,12,AR,1914416,954186,960230,2.33,16.51,7.99,0.9,72.26,25335,1323,17759,1571,16188
CALIFORNIA,2015,≤ 20,1,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2015,21-30,5,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2015,31-40,8,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2015,41-50,8,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2015,51-60,22,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2015,61-70,20,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2015,≥ 71,15,CA,26315841,12996069,13319772,15.69,6.41,38.51,0.55,38.84,203983,775,129593,5785,123808
CALIFORNIA,2016,≤ 20,2,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2016,21-30,14,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2016,31-40,33,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2016,41-50,38,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2016,51-60,101,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2016,61-70,92,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2016,≥ 71,54,CA,26434882,13033688,13401194,15.94,6.4,38.85,0.54,38.27,204163,772,130084,5886,124198
CALIFORNIA,2017,≤ 20,0,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2017,21-30,36,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2017,31-40,44,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2017,41-50,47,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2017,51-60,84,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2017,61-70,79,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2017,≥ 71,94,CA,26501551,13042436,13459115,16.17,6.41,39.2,0.54,37.69,205118,773,131039,5859,125180
CALIFORNIA,2018,≤ 20,1,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2018,21-30,31,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2018,31-40,45,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2018,41-50,63,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2018,51-60,113,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2018,61-70,122,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2018,≥ 71,74,CA,26512430,13024444,13487986,16.36,6.41,39.57,0.53,37.12,201982,761,128625,5778,122847
CALIFORNIA,2019,≤ 20,0,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
CALIFORNIA,2019,21-30,17,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
CALIFORNIA,2019,31-40,56,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
CALIFORNIA,2019,41-50,52,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
CALIFORNIA,2019,51-60,86,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
CALIFORNIA,2019,61-70,102,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
CALIFORNIA,2019,≥ 71,85,CA,26447533,12971218,13476315,16.53,6.42,39.98,0.53,36.54,196000,741,122687,5568,117119
COLORADO,2015,≤ 20,0,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2015,21-30,0,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2015,31-40,1,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2015,41-50,3,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2015,51-60,7,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2015,61-70,4,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2015,≥ 71,4,CO,3696203,1804309,1891894,3.73,4.6,20.5,0.81,70.37,32128,869,20041,1842,18199
COLORADO,2016,≤ 20,0,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2016,21-30,2,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2016,31-40,6,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2016,41-50,7,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2016,51-60,18,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2016,61-70,15,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2016,≥ 71,9,CO,3752681,1827395,1925286,3.84,4.65,20.73,0.81,69.97,32562,867,19981,1903,18078
COLORADO,2017,≤ 20,0,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2017,21-30,3,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2017,31-40,5,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2017,41-50,4,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2017,51-60,8,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2017,61-70,9,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2017,≥ 71,12,CO,3794758,1843426,1951332,3.93,4.69,21.03,0.81,69.54,33022,870,19946,1902,18044
COLORADO,2018,≤ 20,1,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2018,21-30,5,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2018,31-40,4,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2018,41-50,6,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2018,51-60,12,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2018,61-70,14,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2018,≥ 71,13,CO,3841477,1862704,1978773,4.04,4.75,21.35,0.81,69.05,33289,866,20372,2025,18347
COLORADO,2019,≤ 20,1,CO,3877220,1875093,2002127,4.09,4.79,21.63,0.8,68.68,32936,849,19785,1919,17866
COLORADO,2019,21-30,0,CO,3877220,1875093,2002127,4.09,4.79,21.63,0.8,68.68,32936,849,19785,1919,17866
COLORADO,2019,31-40,3,CO,3877220,1875093,2002127,4.09,4.79,21.63,0.8,68.68,32936,849,19785,1919,17866
