state_name,death_year,age_range,death_count
LOUISIANA,2017,41-50,10
LOUISIANA,2017,51-60,41
LOUISIANA,2017,61-70,36
LOUISIANA,2017,≥ 71,24
LOUISIANA,2018,≤ 20,0
LOUISIANA,2018,21-30,1
LOUISIANA,2018,31-40,7
LOUISIANA,2018,41-50,14
LOUISIANA,2018,51-60,31
LOUISIANA,2018,61-70,38
LOUISIANA,2018,≥ 71,24
LOUISIANA,2019,≤ 20,0
LOUISIANA,2019,21-30,4
LOUISIANA,2019,31-40,7
LOUISIANA,2019,41-50,12
LOUISIANA,2019,51-60,35
LOUISIANA,2019,61-70,29
LOUISIANA,2019,≥ 71,15
MAINE,2015,≤ 20,0
MAINE,2015,21-30,0
MAINE,2015,31-40,0
MAINE,2015,41-50,0
MAINE,2015,51-60,0
MAINE,2015,61-70,0
MAINE,2015,≥ 71,0
MAINE,2016,≤ 20,0
MAINE,2016,21-30,0
MAINE,2016,31-40,1
MAINE,2016,41-50,1
MAINE,2016,51-60,0
MAINE,2016,61-70,3
MAINE,2016,≥ 71,0
MAINE,2017,≤ 20,0
MAINE,2017,21-30,0
MAINE,2017,31-40,0
MAINE,2017,41-50,1
MAINE,2017,51-60,1
MAINE,2017,61-70,0
MAINE,2017,≥ 71,2
MAINE,2018,≤ 20,0
MAINE,2018,21-30,1
MAINE,2018,31-40,0
MAINE,2018,41-50,2
MAINE,2018,51-60,3
MAINE,2018,61-70,0
MAINE,2018,≥ 71,2
MAINE,2019,≤ 20,0
MAINE,2019,21-30,0
MAINE,2019,31-40,0
MAINE,2019,41-50,0
MAINE,2019,51-60,4
MAINE,2019,61-70,4
MAINE,2019,≥ 71,0
MARYLAND,2015,≤ 20,0
MARYLAND,2015,21-30,1
MARYLAND,2015,31-40,3
MARYLAND,2015,41-50,2
MARYLAND,2015,51-60,13
MARYLAND,2015,61-70,3
MARYLAND,2015,≥ 71,3
MARYLAND,2016,≤ 20,1
MARYLAND,2016,21-30,4
MARYLAND,2016,31-40,8
MARYLAND,2016,41-50,5
MARYLAND,2016,51-60,18
MARYLAND,2016,61-70,10
MARYLAND,2016,≥ 71,3
MARYLAND,2017,≤ 20,0
MARYLAND,2017,21-30,7
MARYLAND,2017,31-40,4
MARYLAND,2017,41-50,7
MARYLAND,2017,51-60,11
MARYLAND,2017,61-70,14
MARYLAND,2017,≥ 71,14
MARYLAND,2018,≤ 20,0
MARYLAND,2018,21-30,4
MARYLAND,2018,31-40,12
MARYLAND,2018,41-50,11
MARYLAND,2018,51-60,20
MARYLAND,2018,61-70,4
MARYLAND,2018,≥ 71,6
MARYLAND,2019,≤ 20,0
MARYLAND,2019,21-30,6
MARYLAND,2019,31-40,8
MARYLAND,2019,41-50,13
MARYLAND,2019,51-60,14
MARYLAND,2019,61-70,12
MARYLAND,2019,≥ 71,8
MASSACHUSETTS,2015,≤ 20,0
MASSACHUSETTS,2015,21-30,0
MASSACHUSETTS,2015,31-40,0
MASSACHUSETTS,2015,41-50,0
MASSACHUSETTS,2015,51-60,4
MASSACHUSETTS,2015,61-70,1
MASSACHUSETTS,2015,≥ 71,5
MASSACHUSETTS,2016,≤ 20,0
MASSACHUSETTS,2016,21-30,1
MASSACHUSETTS,2016,31-40,2
MASSACHUSETTS,2016,41-50,2
MASSACHUSETTS,2016,51-60,6
MASSACHUSETTS,2016,61-70,15
